"Plot Title: V3"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453365, SEN S/N: 10453365)","Host Connected (LGR S/N: 10453365)","Stopped (LGR S/N: 10453365)","End Of File (LGR S/N: 10453365)"
222,10/18/19 10:18:51 PM,2.21062,,,
223,10/18/19 10:20:51 PM,2.21062,,,
224,10/18/19 10:22:51 PM,2.21062,,,
225,10/18/19 10:24:51 PM,2.21062,,,
226,10/18/19 10:26:51 PM,2.21062,,,
227,10/18/19 10:28:51 PM,2.21062,,,
228,10/18/19 10:30:51 PM,2.21062,,,
229,10/18/19 10:32:51 PM,2.21062,,,
230,10/18/19 10:34:51 PM,2.21062,,,
231,10/18/19 10:36:51 PM,2.21062,,,
232,10/18/19 10:38:51 PM,2.21062,,,
233,10/18/19 10:40:51 PM,2.21062,,,
234,10/18/19 10:42:51 PM,2.21062,,,
235,10/18/19 10:44:51 PM,2.21062,,,
236,10/18/19 10:46:51 PM,2.21062,,,
237,10/18/19 10:48:51 PM,2.21062,,,
238,10/18/19 10:50:51 PM,2.21062,,,
239,10/18/19 10:52:51 PM,2.21062,,,
240,10/18/19 10:54:51 PM,2.21062,,,
241,10/18/19 10:56:51 PM,2.21062,,,
242,10/18/19 10:58:51 PM,2.21062,,,
243,10/18/19 11:00:51 PM,2.21062,,,
244,10/18/19 11:02:51 PM,2.21062,,,
245,10/18/19 11:04:51 PM,2.21062,,,
246,10/18/19 11:06:51 PM,2.21062,,,
247,10/18/19 11:08:51 PM,2.21062,,,
248,10/18/19 11:10:51 PM,2.21062,,,
249,10/18/19 11:12:51 PM,2.21062,,,
250,10/18/19 11:14:51 PM,2.21062,,,
251,10/18/19 11:16:51 PM,2.21062,,,
252,10/18/19 11:18:51 PM,2.21062,,,
253,10/18/19 11:20:51 PM,2.21062,,,
254,10/18/19 11:22:51 PM,2.21062,,,
255,10/18/19 11:24:51 PM,2.21062,,,
256,10/18/19 11:26:51 PM,2.21062,,,
257,10/18/19 11:28:51 PM,2.21062,,,
258,10/18/19 11:30:51 PM,2.21062,,,
259,10/18/19 11:32:51 PM,2.21062,,,
260,10/18/19 11:34:51 PM,2.21062,,,
261,10/18/19 11:36:51 PM,2.21062,,,
262,10/18/19 11:38:51 PM,2.21062,,,
263,10/18/19 11:40:51 PM,2.21062,,,
264,10/18/19 11:42:51 PM,2.21062,,,
265,10/18/19 11:44:51 PM,2.21062,,,
266,10/18/19 11:46:51 PM,2.21062,,,
267,10/18/19 11:48:51 PM,2.21062,,,
268,10/18/19 11:50:51 PM,2.21062,,,
269,10/18/19 11:52:51 PM,2.21062,,,
270,10/18/19 11:54:51 PM,2.21062,,,
271,10/18/19 11:56:51 PM,2.21062,,,
272,10/18/19 11:58:51 PM,2.21062,,,
273,10/19/19 12:00:51 AM,2.21062,,,
274,10/19/19 12:02:51 AM,2.21062,,,
275,10/19/19 12:04:51 AM,2.21062,,,
276,10/19/19 12:06:51 AM,2.21062,,,
277,10/19/19 12:08:51 AM,2.21062,,,
278,10/19/19 12:10:51 AM,2.21062,,,
279,10/19/19 12:12:51 AM,2.21062,,,
280,10/19/19 12:14:51 AM,2.21062,,,
281,10/19/19 12:16:51 AM,2.21062,,,
282,10/19/19 12:18:51 AM,2.21062,,,
283,10/19/19 12:20:51 AM,2.21062,,,
284,10/19/19 12:22:51 AM,2.21062,,,
285,10/19/19 12:24:51 AM,2.21062,,,
286,10/19/19 12:26:51 AM,2.21062,,,
287,10/19/19 12:28:51 AM,2.21062,,,
288,10/19/19 12:30:51 AM,2.21062,,,
289,10/19/19 12:32:51 AM,2.21062,,,
290,10/19/19 12:34:51 AM,2.21062,,,
291,10/19/19 12:36:51 AM,2.21062,,,
292,10/19/19 12:38:51 AM,2.21062,,,
293,10/19/19 12:40:51 AM,2.21062,,,
294,10/19/19 12:42:51 AM,2.21062,,,
295,10/19/19 12:44:51 AM,2.21062,,,
296,10/19/19 12:46:51 AM,2.21062,,,
297,10/19/19 12:48:51 AM,2.21062,,,
298,10/19/19 12:50:51 AM,2.21062,,,
299,10/19/19 12:52:51 AM,2.21062,,,
300,10/19/19 12:54:51 AM,2.21062,,,
301,10/19/19 12:56:51 AM,2.21062,,,
302,10/19/19 12:58:51 AM,2.21062,,,
303,10/19/19 01:00:51 AM,2.21062,,,
304,10/19/19 01:02:51 AM,2.21062,,,
305,10/19/19 01:04:51 AM,2.21062,,,
306,10/19/19 01:06:51 AM,2.21001,,,
307,10/19/19 01:08:51 AM,2.21062,,,
308,10/19/19 01:10:51 AM,2.21062,,,
309,10/19/19 01:12:51 AM,2.21062,,,
310,10/19/19 01:14:51 AM,2.21062,,,
311,10/19/19 01:16:51 AM,2.21062,,,
312,10/19/19 01:18:51 AM,2.21062,,,
313,10/19/19 01:20:51 AM,2.21062,,,
314,10/19/19 01:22:51 AM,2.21062,,,
315,10/19/19 01:24:51 AM,2.21062,,,
316,10/19/19 01:26:51 AM,2.21062,,,
317,10/19/19 01:28:51 AM,2.21062,,,
318,10/19/19 01:30:51 AM,2.21062,,,
319,10/19/19 01:32:51 AM,2.21062,,,
320,10/19/19 01:34:51 AM,2.21062,,,
321,10/19/19 01:36:51 AM,2.21062,,,
322,10/19/19 01:38:51 AM,2.21062,,,
323,10/19/19 01:40:51 AM,2.21062,,,
324,10/19/19 01:42:51 AM,2.21062,,,
325,10/19/19 01:44:51 AM,2.21062,,,
326,10/19/19 01:46:51 AM,2.21001,,,
327,10/19/19 01:48:51 AM,2.21062,,,
328,10/19/19 01:50:51 AM,2.21062,,,
329,10/19/19 01:52:51 AM,2.21062,,,
330,10/19/19 01:54:51 AM,2.21062,,,
331,10/19/19 01:56:51 AM,2.21062,,,
332,10/19/19 01:58:51 AM,2.21001,,,
333,10/19/19 02:00:51 AM,2.21062,,,
334,10/19/19 02:02:51 AM,2.21001,,,
335,10/19/19 02:04:51 AM,2.21001,,,
336,10/19/19 02:06:51 AM,2.21001,,,
337,10/19/19 02:08:51 AM,2.21001,,,
338,10/19/19 02:10:51 AM,2.21001,,,
339,10/19/19 02:12:51 AM,2.21001,,,
340,10/19/19 02:14:51 AM,2.21001,,,
341,10/19/19 02:16:51 AM,2.21001,,,
