Site Name,FLUMEV3
Isco Quantity,Velocity
Label,Velocidad
Units,m/s
Resolution, 0,1 
Significant Digits,0

15/06/2023 06:26:00 p.m.,0,000
15/06/2023 06:28:00 p.m.,0,000
15/06/2023 06:30:00 p.m.,0,000
15/06/2023 06:32:00 p.m.,0,000
15/06/2023 06:34:00 p.m.,0,000
15/06/2023 06:36:00 p.m.,0,000
15/06/2023 06:38:00 p.m.,0,000
15/06/2023 06:40:00 p.m.,0,000
15/06/2023 06:42:00 p.m.,0,000
15/06/2023 06:44:00 p.m.,0,000
15/06/2023 06:46:00 p.m.,0,000
15/06/2023 06:48:00 p.m.,0,000
15/06/2023 06:50:00 p.m.,0,000
15/06/2023 06:52:00 p.m.,0,000
15/06/2023 06:54:00 p.m.,0,000
15/06/2023 06:56:00 p.m.,0,000
15/06/2023 06:58:00 p.m.,0,000
15/06/2023 07:00:00 p.m.,0,000
15/06/2023 07:02:00 p.m.,0,000
15/06/2023 07:04:00 p.m.,0,000
15/06/2023 07:06:00 p.m.,0,000
15/06/2023 07:08:00 p.m.,0,000
15/06/2023 07:10:00 p.m.,0,000
15/06/2023 07:12:00 p.m.,0,000
15/06/2023 07:14:00 p.m.,0,000
15/06/2023 07:16:00 p.m.,0,000
15/06/2023 07:18:00 p.m.,0,000
15/06/2023 07:20:00 p.m.,0,000
15/06/2023 07:22:00 p.m.,0,000
15/06/2023 07:24:00 p.m.,0,000
15/06/2023 07:26:00 p.m.,0,000
15/06/2023 07:28:00 p.m.,0,000
15/06/2023 07:30:00 p.m.,0,000
15/06/2023 07:32:00 p.m.,0,000
15/06/2023 07:34:00 p.m.,0,000
15/06/2023 07:36:00 p.m.,0,000
15/06/2023 07:38:00 p.m.,0,000
15/06/2023 07:40:00 p.m.,0,000
15/06/2023 07:42:00 p.m.,0,000
15/06/2023 07:44:00 p.m.,0,000
15/06/2023 07:46:00 p.m.,0,000
15/06/2023 07:48:00 p.m.,0,000
15/06/2023 07:50:00 p.m.,0,000
15/06/2023 07:52:00 p.m.,0,000
15/06/2023 07:54:00 p.m.,0,000
15/06/2023 07:56:00 p.m.,0,000
15/06/2023 07:58:00 p.m.,0,000
15/06/2023 08:00:00 p.m.,0,000
15/06/2023 08:02:00 p.m.,0,000
15/06/2023 08:04:00 p.m.,0,000
15/06/2023 08:06:00 p.m.,0,000
15/06/2023 08:08:00 p.m.,0,000
15/06/2023 08:10:00 p.m.,0,000
15/06/2023 08:12:00 p.m.,0,000
15/06/2023 08:14:00 p.m.,0,000
15/06/2023 08:16:00 p.m.,0,000
15/06/2023 08:18:00 p.m.,0,000
15/06/2023 08:20:00 p.m.,0,000
15/06/2023 08:22:00 p.m.,0,000
15/06/2023 08:24:00 p.m.,0,000
15/06/2023 08:26:00 p.m.,0,000
15/06/2023 08:28:00 p.m.,0,000
15/06/2023 08:30:00 p.m.,0,000
15/06/2023 08:32:00 p.m.,0,000
15/06/2023 08:34:00 p.m.,0,000
15/06/2023 08:36:00 p.m.,0,000
15/06/2023 08:38:00 p.m.,0,000
15/06/2023 08:40:00 p.m.,0,000
15/06/2023 08:42:00 p.m.,0,000
15/06/2023 08:44:00 p.m.,0,000
15/06/2023 08:46:00 p.m.,0,000
15/06/2023 08:48:00 p.m.,0,000
