Site Name,V1
Isco Quantity,Level
Label,Nivel
Units,m
Resolution, 0,1 
Significant Digits,0

18/10/2019 07:00:00 p.m.,0,058
18/10/2019 07:02:00 p.m.,0,058
18/10/2019 07:04:00 p.m.,0,058
18/10/2019 07:06:00 p.m.,0,058
18/10/2019 07:08:00 p.m.,0,058
18/10/2019 07:10:00 p.m.,0,057
18/10/2019 07:12:00 p.m.,0,057
18/10/2019 07:14:00 p.m.,0,057
18/10/2019 07:16:00 p.m.,0,057
18/10/2019 07:18:00 p.m.,0,057
18/10/2019 07:20:00 p.m.,0,057
18/10/2019 07:22:00 p.m.,0,057
18/10/2019 07:24:00 p.m.,0,056
18/10/2019 07:26:00 p.m.,0,056
18/10/2019 07:28:00 p.m.,0,056
18/10/2019 07:30:00 p.m.,0,056
18/10/2019 07:32:00 p.m.,0,056
18/10/2019 07:34:00 p.m.,0,056
18/10/2019 07:36:00 p.m.,0,056
18/10/2019 07:38:00 p.m.,0,056
18/10/2019 07:40:00 p.m.,0,056
18/10/2019 07:42:00 p.m.,0,056
18/10/2019 07:44:00 p.m.,0,055
18/10/2019 07:46:00 p.m.,0,055
18/10/2019 07:48:00 p.m.,0,055
18/10/2019 07:50:00 p.m.,0,055
18/10/2019 07:52:00 p.m.,0,055
18/10/2019 07:54:00 p.m.,0,055
18/10/2019 07:56:00 p.m.,0,055
18/10/2019 07:58:00 p.m.,0,055
18/10/2019 08:00:00 p.m.,0,054
18/10/2019 08:02:00 p.m.,0,054
18/10/2019 08:04:00 p.m.,0,054
18/10/2019 08:06:00 p.m.,0,054
18/10/2019 08:08:00 p.m.,0,054
18/10/2019 08:10:00 p.m.,0,054
18/10/2019 08:12:00 p.m.,0,054
18/10/2019 08:14:00 p.m.,0,054
18/10/2019 08:16:00 p.m.,0,054
18/10/2019 08:18:00 p.m.,0,053
18/10/2019 08:20:00 p.m.,0,053
18/10/2019 08:22:00 p.m.,0,053
18/10/2019 08:24:00 p.m.,0,053
18/10/2019 08:26:00 p.m.,0,053
18/10/2019 08:28:00 p.m.,0,053
18/10/2019 08:30:00 p.m.,0,053
18/10/2019 08:32:00 p.m.,0,053
18/10/2019 08:34:00 p.m.,0,053
18/10/2019 08:36:00 p.m.,0,053
18/10/2019 08:38:00 p.m.,0,052
18/10/2019 08:40:00 p.m.,0,052
18/10/2019 08:42:00 p.m.,0,052
18/10/2019 08:44:00 p.m.,0,052
18/10/2019 08:46:00 p.m.,0,052
18/10/2019 08:48:00 p.m.,0,052
18/10/2019 08:50:00 p.m.,0,052
