"Plot Title: r1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10323477, SEN S/N: 10323477)","Event, units (LGR S/N: 10323477, SEN S/N: 10323477)","Coupler Attached (LGR S/N: 10323477)","Stopped (LGR S/N: 10323477)","End Of File (LGR S/N: 10323477)"
257,11/06/19 01:46:00 AM,11.431,,,,
258,11/06/19 02:46:00 AM,11.431,,,,
259,11/06/19 03:46:00 AM,10.553,,,,
260,11/06/19 04:46:00 AM,8.680,,,,
261,11/06/19 05:46:00 AM,9.077,,,,
262,11/06/19 06:46:00 AM,9.866,,,,
263,11/06/19 07:46:00 AM,16.427,,,,
264,11/06/19 08:46:00 AM,21.569,,,,
265,11/06/19 09:46:00 AM,23.581,,,,
266,11/06/19 10:46:00 AM,24.835,,,,
267,11/06/19 11:46:00 AM,24.641,,,,
268,11/06/19 12:46:00 PM,25.708,,,,
269,11/06/19 01:46:00 PM,26.585,,,,
270,11/06/19 02:46:00 PM,26.585,,,,
271,11/06/19 03:46:00 PM,27.370,,,,
272,11/06/19 04:46:00 PM,25.319,,,,
273,11/06/19 05:46:00 PM,25.319,,,,
274,11/06/19 06:46:00 PM,20.615,,,,
275,11/06/19 07:46:00 PM,15.091,,,,
276,11/06/19 08:46:00 PM,13.076,,,,
277,11/06/19 09:46:00 PM,13.846,,,,
278,11/06/19 10:46:00 PM,14.517,,,,
279,11/06/19 11:46:00 PM,15.951,,,,
280,11/07/19 12:46:00 AM,16.523,,,,
281,11/07/19 01:46:00 AM,16.141,,,,
282,11/07/19 02:46:00 AM,13.076,,,,
283,11/07/19 03:46:00 AM,12.594,,,,
284,11/07/19 04:46:00 AM,12.110,,,,
285,11/07/19 05:46:00 AM,10.846,,,,
286,11/07/19 06:46:00 AM,11.916,,,,
287,11/07/19 07:46:00 AM,19.282,,,,
288,11/07/19 08:46:00 AM,23.388,,,,
289,11/07/19 09:46:00 AM,25.028,,,,
290,11/07/19 10:46:00 AM,26.585,,,,
291,11/07/19 11:46:00 AM,28.159,,,,
292,11/07/19 12:46:00 PM,28.357,,,,
293,11/07/19 01:46:00 PM,29.752,,,,
294,11/07/19 02:46:00 PM,30.356,,,,
295,11/07/19 03:46:00 PM,31.268,,,,
296,11/07/19 04:46:00 PM,31.166,,,,
297,11/07/19 05:46:00 PM,31.472,,,,
298,11/07/19 06:46:00 PM,22.621,,,,
299,11/07/19 07:46:00 PM,16.046,,,,
300,11/07/19 08:46:00 PM,14.421,,,,
301,11/07/19 09:46:00 PM,13.461,,,,
302,11/07/19 10:46:00 PM,12.980,,,,
303,11/07/19 11:46:00 PM,12.207,,,,
304,11/08/19 12:46:00 AM,11.916,,,,
305,11/08/19 01:46:00 AM,11.431,,,,
306,11/08/19 02:46:00 AM,11.041,,,,
307,11/08/19 03:46:00 AM,10.846,,,,
308,11/08/19 04:46:00 AM,10.063,,,,
309,11/08/19 05:46:00 AM,11.139,,,,
310,11/08/19 06:46:00 AM,11.431,,,,
311,11/08/19 07:46:00 AM,18.521,,,,
312,11/08/19 08:46:00 AM,23.484,,,,
313,11/08/19 09:46:00 AM,25.125,,,,
314,11/08/19 10:46:00 AM,26.977,,,,
315,11/08/19 11:46:00 AM,27.961,,,,
316,11/08/19 12:46:00 PM,30.255,,,,
317,11/08/19 01:46:00 PM,30.356,,,,
318,11/08/19 02:46:00 PM,30.963,,,,
319,11/08/19 03:46:00 PM,31.676,,,,
320,11/08/19 04:46:00 PM,30.558,,,,
321,11/08/19 05:46:00 PM,29.053,,,,
322,11/08/19 06:46:00 PM,23.773,,,,
323,11/08/19 07:46:00 PM,19.187,,,,
324,11/08/19 08:46:00 PM,19.662,,,,
325,11/08/19 09:46:00 PM,19.567,,,,
326,11/08/19 10:46:00 PM,18.140,,,,
327,11/08/19 11:46:00 PM,17.570,,,,
328,11/09/19 12:46:00 AM,16.237,,,,
329,11/09/19 01:46:00 AM,14.613,,,,
