"Plot Title: r4"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10075968, SEN S/N: 10075968)","Evento, unidades (LGR S/N: 10075968, SEN S/N: 10075968)","Coupler Attached (LGR S/N: 10075968)","Coupler Detached (LGR S/N: 10075968)","Stopped (LGR S/N: 10075968)","End Of File (LGR S/N: 10075968)"
227,11/04/19 04:33:30 PM,,150.00,,,,
228,11/04/19 04:38:32 PM,,151.00,,,,
229,11/04/19 04:45:21 PM,,152.00,,,,
230,11/04/19 04:54:00 PM,,153.00,,,,
231,11/04/19 05:05:23 PM,19.662,,,,,
232,11/04/19 05:17:57 PM,,154.00,,,,
233,11/04/19 06:04:45 PM,,155.00,,,,
234,11/04/19 06:04:46 PM,,156.00,,,,
235,11/04/19 06:05:23 PM,19.567,,,,,
236,11/04/19 06:12:52 PM,,157.00,,,,
237,11/04/19 06:20:02 PM,,158.00,,,,
238,11/04/19 06:40:13 PM,,159.00,,,,
239,11/04/19 07:05:23 PM,19.472,,,,,
240,11/04/19 08:05:23 PM,19.282,,,,,
241,11/04/19 09:05:23 PM,18.996,,,,,
242,11/04/19 10:05:23 PM,18.901,,,,,
243,11/04/19 11:05:23 PM,18.901,,,,,
244,11/04/19 11:55:07 PM,,160.00,,,,
245,11/04/19 11:55:08 PM,,161.00,,,,
246,11/05/19 12:04:50 AM,,162.00,,,,
247,11/05/19 12:05:23 AM,18.806,,,,,
248,11/05/19 01:05:23 AM,16.808,,,,,
249,11/05/19 02:05:23 AM,16.618,,,,,
250,11/05/19 03:05:23 AM,15.664,,,,,
251,11/05/19 04:05:23 AM,15.473,,,,,
252,11/05/19 05:05:23 AM,14.804,,,,,
253,11/05/19 06:05:23 AM,14.038,,,,,
254,11/05/19 07:05:23 AM,17.379,,,,,
255,11/05/19 08:05:23 AM,19.472,,,,,
256,11/05/19 09:05:23 AM,21.951,,,,,
257,11/05/19 10:05:23 AM,23.677,,,,,
258,11/05/19 11:05:23 AM,23.677,,,,,
259,11/05/19 12:05:23 PM,24.545,,,,,
260,11/05/19 12:32:00 PM,,163.00,,,,
261,11/05/19 01:05:23 PM,25.028,,,,,
262,11/05/19 02:05:23 PM,25.416,,,,,
263,11/05/19 03:05:23 PM,26.097,,,,,
264,11/05/19 04:05:23 PM,26.292,,,,,
265,11/05/19 05:05:23 PM,25.416,,,,,
266,11/05/19 06:05:23 PM,22.525,,,,,
267,11/05/19 07:05:23 PM,19.853,,,,,
268,11/05/19 08:05:23 PM,17.950,,,,,
269,11/05/19 09:05:23 PM,16.999,,,,,
270,11/05/19 10:05:23 PM,16.903,,,,,
271,11/05/19 11:05:23 PM,15.569,,,,,
272,11/06/19 12:05:23 AM,14.613,,,,,
273,11/06/19 01:05:23 AM,13.942,,,,,
274,11/06/19 02:05:23 AM,13.365,,,,,
275,11/06/19 03:05:23 AM,12.594,,,,,
276,11/06/19 04:05:23 AM,12.690,,,,,
277,11/06/19 05:05:23 AM,10.846,,,,,
278,11/06/19 06:05:23 AM,9.965,,,,,
279,11/06/19 07:05:23 AM,17.189,,,,,
280,11/06/19 08:05:23 AM,21.664,,,,,
281,11/06/19 09:05:23 AM,24.738,,,,,
282,11/06/19 10:05:23 AM,26.585,,,,,
283,11/06/19 11:05:23 AM,25.513,,,,,
284,11/06/19 12:05:23 PM,25.902,,,,,
285,11/06/19 01:05:23 PM,25.805,,,,,
286,11/06/19 02:05:23 PM,25.708,,,,,
287,11/06/19 03:05:23 PM,26.097,,,,,
288,11/06/19 04:05:23 PM,26.097,,,,,
289,11/06/19 05:05:23 PM,24.738,,,,,
290,11/06/19 06:05:23 PM,20.996,,,,,
291,11/06/19 07:05:23 PM,18.901,,,,,
292,11/06/19 08:05:23 PM,16.046,,,,,
293,11/06/19 09:05:23 PM,14.709,,,,,
294,11/06/19 10:05:23 PM,15.282,,,,,
295,11/06/19 11:05:23 PM,15.473,,,,,
296,11/07/19 12:05:23 AM,17.189,,,,,
297,11/07/19 01:05:23 AM,17.284,,,,,
298,11/07/19 02:05:23 AM,15.569,,,,,
299,11/07/19 03:05:23 AM,13.942,,,,,
300,11/07/19 04:05:23 AM,13.750,,,,,
301,11/07/19 05:05:23 AM,13.269,,,,,
302,11/07/19 06:05:23 AM,12.497,,,,,
303,11/07/19 07:05:23 AM,18.806,,,,,
304,11/07/19 08:05:23 AM,22.908,,,,,
305,11/07/19 09:05:23 AM,25.513,,,,,
306,11/07/19 10:05:23 AM,27.961,,,,,
307,11/07/19 11:05:23 AM,28.060,,,,,
308,11/07/19 12:05:23 PM,28.555,,,,,
309,11/07/19 01:05:23 PM,28.754,,,,,
310,11/07/19 02:05:23 PM,29.252,,,,,
311,11/07/19 03:05:23 PM,30.154,,,,,
312,11/07/19 04:05:23 PM,29.552,,,,,
313,11/07/19 05:05:23 PM,28.853,,,,,
314,11/07/19 06:05:23 PM,24.255,,,,,
315,11/07/19 07:05:23 PM,20.519,,,,,
316,11/07/19 08:05:23 PM,17.475,,,,,
317,11/07/19 09:05:23 PM,16.046,,,,,
318,11/07/19 10:05:23 PM,15.282,,,,,
319,11/07/19 11:05:23 PM,14.517,,,,,
